house,state,work_type,work_id,ida,mp,constituency,district,fy,exp_date_str,vendor,pay_status,amount
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257672,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,17-May-2026,SHIKHA MATHUR,Payment Success,1206339.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257674,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,17-May-2026,SHIKHA MATHUR,Payment Success,1505236.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP487/2025-2026/257677,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),Shri Satish Kumar Gautam  (2024-2029),ALIGARH,ALIGARH,2025-2026,17-May-2026,SHIKHA MATHUR,Payment Success,1768948.0
LOK_SABHA,Telangana,Installation of multi-gym equipment,WS/MP761/2025-2026/224059,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri (2024-2029),NIZAMABAD,NIZAMABAD,2025-2026,28-Feb-2026,SIMHARAYULU BELLAMKONDA,Payment Success,430000.0
LOK_SABHA,Telangana,Construction of boundary walls of existing public and community buildings,WS/MP761/2025-2026/224063,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri (2024-2029),NIZAMABAD,NIZAMABAD,2025-2026,28-Feb-2026,SIMHARAYULU BELLAMKONDA,Payment Success,300000.0
LOK_SABHA,Telangana,Construction of community centers and community halls,WS/MP761/2025-2026/224086,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Arvind Dharmapuri (2024-2029),NIZAMABAD,NIZAMABAD,2025-2026,30-Mar-2026,SIMHARAYULU BELLAMKONDA,Payment Success,350000.0
LOK_SABHA,Telangana,Installing tube-wells and borewells,WS/MP770/2026-2027/278882,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Sanjay Kumar Bandi (2024-2029),Jagitial,Jagitial,2026-2027,18-Jul-2026,KATIPELLY JAGADHEESHWAR REDDY,Payment Success,149972.0
LOK_SABHA,Tamil Nadu,Construction of toilet blocks,WS/MP18180/2025-2026/184775,TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA),ARUN NEHRU (2024-2029),TIRUCHIRAPPALLI,TIRUCHIRAPPALLI,2025-2026,19-Mar-2026,EE PWD BUILDINGS C AND M DIVISION TRICHY,Payment Success,9850.0
LOK_SABHA,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18076/2026-2027/228440,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),DR C N MANJUNATH (2024-2029),TUMAKURU,TUMAKURU,2026-2027,21-Apr-2026,SHIVARAMAIAH,Payment Success,398734.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266414,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,25-Jul-2026,ARSENAL CONSTRUCTION,Payment Success,149724.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266416,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,25-Jul-2026,ARSENAL CONSTRUCTION,Payment Success,149486.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/252597,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,02-Mar-2026,ARSENAL CONSTRUCTION,Payment Success,149239.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266412,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,19-Jun-2026,ARSENAL CONSTRUCTION,Payment Success,149937.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266413,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,19-Jun-2026,ARSENAL CONSTRUCTION,Payment Success,149914.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266409,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,13-Jun-2026,ARSENAL CONSTRUCTION,Payment Success,149761.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266410,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,13-Jun-2026,ARSENAL CONSTRUCTION,Payment Success,149937.0
LOK_SABHA,West Bengal,Installing community drinking water plants,WS/MP825/2025-2026/252596,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,19-Mar-2026,ARSENAL CONSTRUCTION,Payment Success,313910.0
LOK_SABHA,West Bengal,Lighting of public spaces,WS/MP825/2025-2026/266421,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Prasun Banerjee (2024-2029),HOWRAH,HOWRAH,2025-2026,13-Apr-2026,ARSENAL CONSTRUCTION,Payment Success,149830.0
LOK_SABHA,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18064/2025-2026/226042,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),NAVEEN JINDAL (2024-2029),YAMUNANAGAR,YAMUNANAGAR,2025-2026,18-May-2026,The Arvy CoOp L and C Society LTD,Payment Success,38011.0
LOK_SABHA,Haryana,Construction of community centers and community halls,WS/MP18060/2025-2026/229465,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),VARUN CHAUDHRY (2024-2029),YAMUNANAGAR,YAMUNANAGAR,2025-2026,26-Feb-2026,The Arvy CoOp L and C Society LTD,Payment Success,1016805.0
LOK_SABHA,Haryana,Construction of community centers and community halls,WS/MP18060/2025-2026/229465,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),VARUN CHAUDHRY (2024-2029),YAMUNANAGAR,YAMUNANAGAR,2025-2026,21-May-2026,The Arvy CoOp L and C Society LTD,Payment Success,183025.0
LOK_SABHA,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18064/2025-2026/226042,YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA),NAVEEN JINDAL (2024-2029),YAMUNANAGAR,YAMUNANAGAR,2025-2026,12-Mar-2026,The Arvy CoOp L and C Society LTD,Payment Success,211172.0
LOK_SABHA,Gujarat,Construction of common work sheds/ common covered sitting area,WS/MP18320/2025-2026/215389,BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA),GENIBEN NAGAJI THAKOR (2024-2029),BANAS KANTHA,BANAS KANTHA,2025-2026,09-Mar-2026,DHANAVADA GRAMPANCHAYAT,Payment Success,300000.0
LOK_SABHA,Ladakh,Retrofitting in essential lifeline buildings,WS/MP18360/2025-2026/264609,KARGIL(Deputy CommissionerKargil),Mohamed Haneefa (2024-2029),KARGIL,KARGIL,2025-2026,20-May-2026,ANAYAT ALI,Payment Success,792982.0
LOK_SABHA,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP360/2025-2026/250197,RATLAM(District Collector Ratlam_IDA),Shri Anil Firojiya (2024-2029),RATLAM,RATLAM,2025-2026,23-Mar-2026,GP KACHHALIYA,Payment Success,500000.0
